"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","63/1022","203/9446",0.310344827586207,2.86841217356097,9.37306180287776,2.00708435458008e-15,6.76387427493486e-13,3.73951506063867e-13,"1277/7094/54776/896/9475/7057/3908/7791/5894/3912/5500/5295/5881/1282/2012/8515/5728/1284/10627/60/1286/7422/3909/8503/81/7414/1278/2316/1298/56034/5602/6093/3673/3082/3915/3918/3480/5290/858/5604/5159/3696/103910/2317/5293/6655/55742/2013/857/5154/2002/71/53358/3725/8516/1285/1287/5499/7424/7058/5156/5228/5595",63
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","55/1022","204/9446",0.269607843137255,2.49189401788112,7.5030410771839,6.51085002691482e-11,1.09707822953515e-08,6.06537081454696e-09,"1277/8325/54776/9475/117581/4609/7057/5894/5500/5295/7855/7042/6774/836/27250/60/2475/7422/6382/8503/287/1278/815/6237/1026/2316/4193/5567/6093/3673/3082/3480/5290/858/5604/5336/5293/6655/7472/857/8323/5781/2002/71/3709/7078/8322/22800/5499/4893/23365/2817/4060/7157/5595",55
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","80/1022","362/9446",0.220994475138122,2.04257711561125,7.04516486307746,1.86092967913354e-10,2.09044433956001e-08,1.15573527440925e-08,"1277/90993/672/9586/896/2309/5562/4609/7057/3908/6009/5894/3912/59345/3164/5295/3326/2668/1282/8515/2790/5728/4170/1284/1286/2475/7422/3909/8503/1278/1026/4193/1298/56034/3673/1019/27006/5516/3082/3915/3918/3480/5290/5604/5159/54331/2783/1945/3696/3717/5293/6655/5154/3667/1902/8516/1285/1385/1287/64764/4893/7424/1129/1021/7058/9223/5156/9180/2263/7157/4803/5228/3570/6446/5970/3320/117145/7529/5595/1435",80
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","58/1022","232/9446",0.25,2.31066536203523,7.0401021481773,4.96925969319247e-10,3.885543146736e-08,2.14818409174534e-08,"10092/54776/9475/6387/85464/5894/10093/624/5500/5295/5881/730/8515/81553/623/10627/60/28984/8503/81/7414/6237/56034/6093/3673/27006/28964/8936/5290/5217/5604/5159/1730/10096/3696/2768/103910/26999/5293/6655/221178/5154/71/729/1902/8516/22800/5499/4893/23365/1129/2934/10787/10094/5156/1072/2263/5595",58
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","34/1022","101/9446",0.336633663366337,3.11139098254248,7.43031022317026,5.764900811181e-10,3.885543146736e-08,2.14818409174534e-08,"7412/1277/7048/2308/5295/1281/7042/6774/1282/4088/6777/6776/836/5581/1284/1286/7422/8503/1278/5602/1019/5290/3717/5292/5336/5293/3725/1285/1287/4893/7424/23236/5970/5595",34
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","39/1022","130/9446",0.3,2.77279843444227,7.08897664722113,1.47513752707694e-09,7.42270933923443e-08,4.10376246460876e-08,"1277/90993/7048/9586/5894/59345/5295/1281/1282/2790/1284/196883/1286/7422/114/8503/1278/5567/4792/5602/59/5290/5604/54331/2783/59350/5293/6655/53358/3725/1285/1385/1287/64764/4893/7424/23236/5970/5595",39
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","57/1022","233/9446",0.244635193133047,2.26108026842932,6.78871232148457,1.69470670835379e-09,7.42270933923443e-08,4.10376246460876e-08,"1277/7094/10611/7057/3908/25777/7791/171024/23500/4811/1281/7171/1282/8515/1301/23002/476/6444/1284/60/1286/25802/6382/287/7414/1278/57731/1298/1290/3673/1837/1730/5339/1289/3696/9124/7169/71/6443/4001/8516/7139/1285/1287/114793/2201/72/7058/9260/8572/79188/255631/50509/8735/91010/64423/832",57
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","73/1022","333/9446",0.219219219219219,2.02616902616903,6.64014530956582,1.76206749892805e-09,7.42270933923443e-08,4.10376246460876e-08,"1277/8325/90993/9586/2308/896/7057/3908/6009/5894/3912/5295/8313/7855/1282/8515/5728/3516/836/1284/1286/2475/7422/3909/1741/8503/9114/1278/182/1026/4193/1298/5567/890/3673/1019/5516/3955/3915/3918/5290/5663/5604/5159/7187/3696/5293/6655/7472/8323/4799/3996/84552/8516/1108/3066/10312/8322/1285/1385/1287/64764/10474/4893/1021/7058/9223/5743/4851/529/7157/5970/5595",73
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","43/1022","157/9446",0.273885350318471,2.5314295685991,6.73953018596146,4.8228691636032e-09,1.80589656459364e-07,9.98418528605574e-08,"7048/4616/2308/896/2309/5810/4609/6009/5894/5500/5295/7042/4088/1030/5728/2475/8503/678/7417/6237/1026/4193/8878/890/1019/823/677/801/5290/5604/28996/2305/5293/5606/3709/22800/5499/4893/1021/10114/7157/5970/5595",43
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1022","120/9446",0.3,2.77279843444227,6.80721592932913,6.31727996721606e-09,2.12892334895181e-07,1.17700900441815e-07,"6272/2309/5894/9252/5295/396/9500/6196/4217/5598/8503/815/4792/5602/801/5290/5663/5604/27018/5336/5293/6655/5781/3667/53358/3725/11213/814/4893/7157/4803/3656/4793/4215/5970/5595",36
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","30/1022","90/9446",0.333333333333333,3.0808871493803,6.90862987513687,7.73541629442012e-09,2.36985026474507e-07,1.31020926709317e-07,"8660/90993/9586/2308/2309/5562/6009/5295/51422/196883/83667/2475/114/8503/5567/847/143686/3480/5468/5290/5293/3667/27244/814/1385/64764/4893/9474/7157/5970",30
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","27/1022","76/9446",0.355263157894737,3.28357709341848,6.96177412665684,9.13876361019423e-09,2.56646944719621e-07,1.41891329737226e-07,"4616/5894/5295/5728/2475/8503/57118/815/1026/4193/1019/801/3480/5290/5604/5159/5336/5293/6655/5154/53358/814/4893/1021/5156/7157/5595",27
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","27/1022","77/9446",0.350649350649351,3.24093323506239,6.87693486106021,1.26453435059734e-08,3.27806212424079e-07,1.8123285834472e-07,"7048/4616/4609/5894/5295/7042/4088/6777/6776/8503/1026/4193/4792/1019/5290/5604/861/5293/6655/5781/53358/3066/4893/1021/7157/5970/5595",27
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","30/1022","93/9446",0.32258064516129,2.98150369294868,6.68849093982342,1.83253129769965e-08,4.41116462374844e-07,2.43878225332961e-07,"4616/4609/3908/3912/5295/1282/1030/5728/836/1284/1286/3909/8503/1026/4792/3673/1019/3915/3918/5290/6502/7187/5293/9618/1285/1287/1021/5743/7157/5970",30
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","32/1022","109/9446",0.293577981651376,2.71344189303219,6.26680527828831,7.73134292709264e-08,1.73697504428681e-06,9.60314174102034e-07,"8660/90993/9586/2308/5562/5834/5500/5295/6774/51422/5728/5581/6196/9945/2475/8503/1374/4792/5602/5290/10999/5293/57761/5781/3667/1385/5499/64764/7376/9882/5970/6720",32
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","36/1022","133/9446",0.270676691729323,2.50177302355694,6.07508792319019,1.19735312488733e-07,2.52192501929395e-06,1.39428620463854e-06,"8660/7048/4616/2308/2309/5562/5894/604/11067/5295/7042/6774/4088/51422/1030/5728/1901/114907/8503/1026/4193/5602/847/11345/3480/5290/5604/6502/5293/6655/10769/3667/4893/6446/5595/8743",36
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","30/1022","106/9446",0.283018867924528,2.61584757966252,5.82702842336622,4.74345485449048e-07,9.40320168213701e-06,5.19870903557161e-06,"90993/9586/2308/5894/5295/3326/5728/2475/8503/1026/4193/4792/56034/3480/5290/5604/5159/5293/6655/2119/5154/1385/64764/4893/5156/2263/7157/5970/3320/5595",30
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","41/1022","170/9446",0.241176470588235,2.22911246690457,5.63252287790856,5.03626270906221e-07,9.42900296085537e-06,5.21297368131001e-06,"9181/10092/7277/9414/5562/154796/9475/10093/5010/7846/51421/23327/51422/5581/4217/10627/60/1741/81/5567/5602/6093/1019/5516/5111/4771/8531/10096/861/4637/103910/3996/71/84552/3725/11149/10376/140465/123720/10094/9223",41
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","25/1022","80/9446",0.3125,2.88833170254403,5.90763222921442,5.55051460361328e-07,9.84486011272461e-06,5.44288689661801e-06,"2309/5894/5295/6774/5728/2475/7422/8503/56034/3082/3480/5290/5604/5159/3717/5336/5293/6655/5154/53358/4893/5156/2263/3570/5595",25
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","37/1022","149/9446",0.248322147651007,2.29515754081351,5.55023749690396,8.43670693711507e-07,1.42158511890389e-05,7.85945856773352e-06,"1759/6009/5894/5321/5295/9265/10555/8613/196883/2475/114/8503/160851/6237/56034/8611/5290/5604/5159/2768/5336/5293/6655/375/5781/5154/53358/1902/5900/22800/4893/23236/5156/5737/5595/8525/2185",37
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","21/1022","62/9446",0.338709677419355,3.13057887759611,5.86228208521168,1.01501062748286e-06,1.59949288249722e-05,8.84304982670647e-06,"8660/2308/2309/5562/5295/51422/196883/2475/3310/114/8503/5567/847/3480/5290/5293/3667/1979/3066/4893/9474",21
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","47/1022","212/9446",0.221698113207547,2.04908060406897,5.38082791385233,1.04417932982014e-06,1.59949288249722e-05,8.84304982670647e-06,"7094/7057/10235/5894/5295/5881/9771/57568/5587/196883/60/7422/114/8503/6237/56034/27006/3082/9855/801/3480/5290/5217/5604/5159/1945/5293/5154/5606/71/84552/51466/1902/5900/64411/6494/4893/7424/26037/9223/23236/5156/2263/4803/5228/5595/1435",47
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","49/1022","227/9446",0.215859030837004,1.99511194255024,5.28579370479743,1.41149792079793e-06,2.03356031348706e-05,1.1242860393166e-05,"90993/9586/9475/4609/6009/6387/5894/59345/5295/5881/6774/2790/836/196883/2475/7422/114/8503/11214/1026/4193/5567/4792/6093/1019/801/5290/5604/54331/2783/2768/5293/6655/2002/3709/1385/64764/4893/23365/1021/5743/23236/5156/7157/1230/3570/5970/5595/2185",49
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","60/1022","300/9446",0.2,1.84853228962818,5.20212342701426,1.44823286420444e-06,2.03356031348706e-05,1.1242860393166e-05,"1843/783/7048/4616/4609/10235/6722/1326/5894/11221/9252/5321/3164/1649/2668/7042/5881/1847/836/6196/4217/7422/5598/3310/3315/6237/2316/5567/56034/5602/5536/27006/3082/8491/3480/5604/5159/5495/1945/2768/6655/1845/5154/2002/5606/994/3725/22800/6788/4893/7424/5156/2263/7157/4803/5228/4215/5970/5595/1435",60
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","34/1022","137/9446",0.248175182481752,2.29379919150942,5.3130376536895,2.36930516299204e-06,3.19382335971326e-05,1.76575584778775e-05,"8837/4616/7277/5894/5295/1649/7846/4170/836/10038/4217/60/8503/1075/4792/5602/823/5290/5604/5293/71/3725/4001/27113/3709/10376/5783/4893/7157/4803/5970/5595/8743/1520",34
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","28/1022","103/9446",0.271844660194175,2.51256816065966,5.3759799730752,2.74070710508933e-06,3.55237805544271e-05,1.96398849231098e-05,"338382/1277/3908/3912/5295/1281/7042/1282/836/1284/1286/3909/8503/81/7414/1278/3315/5567/3915/3918/5290/5272/3592/5293/1285/1287/23236/5970",28
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","25/1022","87/9446",0.28735632183908,2.65593719774164,5.40450613947301,3.12805700338103e-06,3.81744992084549e-05,2.11053767293347e-05,"7048/4616/4609/5894/5295/8313/7042/5881/4088/836/2475/8503/1026/5602/5290/5604/5293/6655/3725/5900/27113/4893/7157/5595/4292",25
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","38/1022","163/9446",0.233128834355828,2.15473088975064,5.17961715420423,3.17176848022771e-06,3.81744992084549e-05,2.11053767293347e-05,"90993/7048/9586/4609/57506/5894/5295/7042/6774/1959/4088/6777/6776/836/8503/1026/1960/4792/5602/890/5111/5290/5604/7187/3717/5293/6655/2002/5606/3725/1385/64764/4893/7157/5970/7529/5595/2185",38
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","23/1022","77/9446",0.298701298701299,2.76079497801611,5.40349537328435,3.73806114593107e-06,4.07517778408886e-05,2.25302660560277e-05,"7048/4616/5894/5295/7042/5881/6774/4088/10928/2475/7422/8503/1026/5602/1019/5290/5604/5293/5900/1021/7157/5970/5595",23
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","27/1022","99/9446",0.272727272727273,2.52072584949297,5.29784995484856,3.84771120584264e-06,4.07517778408886e-05,2.25302660560277e-05,"8202/5894/5295/196883/2475/114/8503/182/1026/4193/5567/5602/1019/3480/5290/5604/2852/5293/6655/53358/3725/4893/4851/54567/3714/7157/5595",27
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","27/1022","99/9446",0.272727272727273,2.52072584949297,5.29784995484856,3.84771120584264e-06,4.07517778408886e-05,2.25302660560277e-05,"10810/6009/5894/5321/5295/5881/8613/2475/8503/160851/56034/5602/8611/8936/5290/5604/5159/5293/6655/5154/3725/5900/57153/4893/5156/5595/8525",27
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","31/1022","122/9446",0.254098360655738,2.34854512206859,5.22169517164867,3.86960501753245e-06,4.07517778408886e-05,2.25302660560277e-05,"9475/5894/624/5295/5881/5728/1901/5581/4217/8503/5602/6093/5516/91012/5290/5604/55304/2768/5293/8560/134/4363/4893/166929/23236/253782/7157/5970/10715/5595/8439",31
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","38/1022","166/9446",0.228915662650602,2.11578997005635,5.05160935715931,5.04108603929359e-06,5.10657572709204e-05,2.82325130000091e-05,"8660/90993/9586/147/9475/7225/488/6722/5894/624/5500/8654/476/5581/196883/5592/114/5593/7417/6093/801/5604/150/2768/4205/3667/134/3709/6546/1385/5499/64764/3778/23236/3764/490/5595/4209",38
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","22/1022","73/9446",0.301369863013699,2.78545961450822,5.33383286221289,5.15203485819375e-06,5.10657572709204e-05,2.82325130000091e-05,"4616/5894/5295/5728/8503/1026/4193/56034/1019/27006/3082/3480/5290/5604/5159/5293/5154/4893/1021/5156/7157/5595",22
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","30/1022","119/9446",0.252100840336134,2.33008271801871,5.08567253792388,6.55930049262531e-06,6.31566933147066e-05,3.4917178562246e-05,"7412/8837/90993/9586/3976/1326/9252/5295/836/4217/8503/182/4792/5602/7128/7133/5290/5604/7187/5293/5606/3725/6868/1385/64764/7424/5743/5970/5595/1435",30
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","33/1022","138/9446",0.239130434782609,2.21020165064239,4.98811372839192,7.85567823345821e-06,7.18230188110094e-05,3.9708493923313e-05,"8660/2308/5562/6009/5894/5834/5500/5295/51422/2475/8503/5567/2319/3632/5602/801/8651/10580/5290/5604/5255/5293/6655/3667/2002/53358/5499/23265/4893/10211/5577/6720/5595",33
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","38/1022","169/9446",0.224852071005917,2.07823156822103,4.92627743825133,7.88561334126809e-06,7.18230188110094e-05,3.9708493923313e-05,"338382/8660/8837/5562/6009/9706/5894/5295/10241/7314/64419/81671/64689/5728/10010/55062/2475/8503/84557/6237/79065/5567/8878/5602/5516/11345/3480/5290/5604/5293/3667/58476/23604/57617/22800/4893/9474/5595",38
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","22/1022","75/9446",0.293333333333333,2.71118069145466,5.18204027260222,8.39282625131188e-06,7.44311170182132e-05,4.11504223402272e-05,"4616/896/84883/7057/5728/836/8493/83667/3732/64393/1026/4193/1019/143686/27244/25946/27113/92344/1021/7157/9540/10848",22
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","38/1022","170/9446",0.223529411764706,2.06600667664326,4.88507533351918,9.12260886873327e-06,7.88286971477721e-05,4.35816941907095e-05,"8325/7048/4616/7296/6603/4609/5894/5295/8313/7855/7042/4088/5728/3162/60/2475/8503/1026/2941/1019/3082/3480/5290/5604/5336/5293/6655/7472/8323/2002/71/53358/8322/4893/1021/1728/7157/5595",38
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","30/1022","122/9446",0.245901639344262,2.27278560200186,4.92834709328994,1.11919430250899e-05,9.42921199863826e-05,5.21308925116031e-05,"8660/90993/9586/5894/5295/6774/6777/6776/196883/2475/114/8503/5567/5602/8651/5290/5604/3717/5336/5293/6655/3667/5606/53358/3709/1385/64764/4893/23236/5595",30
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","21/1022","71/9446",0.295774647887324,2.73374493536562,5.10735436311763,1.1630016265387e-05,9.55930605228153e-05,5.28501380994481e-05,"4609/5894/2744/5295/5728/6510/2475/8503/5290/8140/5604/5159/3939/5293/3418/4893/5156/2263/7157/5595/5162",21
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","21/1022","73/9446",0.287671232876712,2.65884781384875,4.95559625713157,1.86554813655947e-05,0.00014968802905251,8.27573985391042e-05,"4616/2309/5894/5295/6774/6777/6776/8503/3799/1026/1019/3082/5290/5604/5336/5293/6655/4893/1021/7157/5595",21
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","35/1022","157/9446",0.222929936305732,2.0604659279295,4.66690880142948,2.1685934180883e-05,0.000169957205092037,9.39635336601296e-05,"8325/7048/896/154796/4086/4609/5500/8313/7855/85407/7042/4088/8463/60/1741/151449/8200/7003/126374/5516/4771/7004/7005/7472/8323/3996/71/84552/27113/1742/8322/5499/6788/7529/55233",35
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","39/1022","184/9446",0.21195652173913,1.9590423721603,4.57574241627639,2.58216618862679e-05,0.000197770455810734,0.000109340529996876,"9475/3983/6387/7225/85464/5894/5295/5881/10371/80031/5364/6091/10627/2050/2048/8503/151449/815/2051/6237/6093/219699/5290/2049/64101/1945/103910/5336/5293/5781/7869/84552/2043/4893/23365/9901/2044/1072/5595",39
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","42/1022","205/9446",0.204878048780488,1.89361844303375,4.50543593657502,3.0148056579407e-05,0.00022096962714265,0.000122166559438541,"90993/9586/896/6722/5295/6774/1959/6777/1030/6776/3516/836/8503/81/9114/51564/1026/4193/1960/5567/4792/890/1019/2965/2961/5290/6502/7187/5293/3725/1108/3066/1385/64764/4893/10014/2934/1021/7157/5970/7529/5595",42
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","18/1022","59/9446",0.305084745762712,2.81979501807688,4.88373756674736,3.05747503365022e-05,0.00022096962714265,0.000122166559438541,"4616/2309/4609/5894/5295/8313/5728/8503/1026/5290/5604/5293/6655/2002/4893/7157/5595/4292",18
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","29/1022","122/9446",0.237704918032787,2.19702608193513,4.63499901493121,3.10112329834982e-05,0.00022096962714265,0.000122166559438541,"2308/4609/6009/8202/488/5894/5295/476/1734/6567/60/2475/8503/4193/5567/5290/5604/5336/5293/71/9282/3066/4893/23236/4851/1827/9882/7157/5595",29
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","27/1022","110/9446",0.245454545454545,2.26865326454368,4.66150454872968,3.14734187028107e-05,0.00022096962714265,0.000122166559438541,"7048/4052/4086/4609/7057/3625/7042/4088/285704/1030/7050/4681/10468/83729/151449/8200/2014/6093/5516/91/7027/130399/3066/60436/3624/8454/5595",27
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","49/1022","253/9446",0.193675889328063,1.79008067572689,4.43680478035923,3.24274344338068e-05,0.000223021334779446,0.000123300878513078,"9181/2308/7094/10092/2309/9475/10093/9252/5295/9265/10241/7314/5581/10318/10627/60/55062/2475/8503/81/84557/7414/23176/4193/4792/8878/5602/6093/823/8936/5290/5217/10096/103910/5336/5293/375/71/23048/3725/3709/10094/9474/23236/7157/4793/8454/5970/5595",49
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","33/1022","148/9446",0.222972972972973,2.06086370127466,4.53067517239296,3.68180073593931e-05,0.00024815336960231,0.000137195522160265,"8325/672/4616/4609/8202/5894/5295/8313/7855/5728/2475/8503/182/1026/1019/27006/3480/5290/5604/5293/6655/7472/8323/53358/3725/8322/4893/1021/4851/54567/3714/7157/5595",33
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","20/1022","71/9446",0.28169014084507,2.60356660511011,4.72386839038219,4.10172916708789e-05,0.0002710358292762,0.000149846452543768,"2309/5894/5295/6774/6777/6776/8503/5602/8651/5290/5604/3717/5293/6655/53358/2592/4893/9655/5970/5595",20
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","14/1022","41/9446",0.341463414634146,3.15603073838958,4.81875367517023,5.8443225762969e-05,0.000369446212808306,0.000204254192306951,"4609/7057/5894/9252/1890/7422/1026/4193/1019/5604/23604/4893/7157/5595",14
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","29/1022","126/9446",0.23015873015873,2.12727922219116,4.43686350710811,5.84864563843671e-05,0.000369446212808306,0.000204254192306951,"1277/7094/9475/10235/5500/5321/5295/1281/10627/196883/60/5592/114/5593/8503/1278/5567/6093/3673/5290/103910/5336/5293/71/3709/5499/23365/23236/5595",29
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","46/1022","238/9446",0.19327731092437,1.78639675048101,4.27971435454694,5.91990964143874e-05,0.000369446212808306,0.000204254192306951,"23179/10235/5894/59345/5321/5295/5881/9771/2790/10928/7422/8503/6237/5567/27/56034/5602/27006/3082/801/3480/5290/5604/5159/54331/2783/1945/5336/5293/6655/5781/5154/2002/53358/5900/22800/8036/4893/7424/5156/2263/4803/5228/5970/5595/1435",46
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","19/1022","68/9446",0.279411764705882,2.58250834580408,4.56155169684326,7.17342766244388e-05,0.000439535476771561,0.000243004152392836,"7704/4609/5894/5295/6774/6777/6776/2475/8503/890/5290/5604/861/5292/5293/6655/4893/5970/5595",19
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","28/1022","122/9446",0.229508196721311,2.1212665618684,4.34165093657248,8.22582965849103e-05,0.000495018677662764,0.000273678919088893,"8660/90993/9586/2308/2309/5562/6009/5295/51422/3952/55437/6319/2475/8503/1374/890/5516/3480/5468/5290/23417/5293/3667/81617/1385/64764/23216/6720",28
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","31/1022","142/9446",0.21830985915493,2.01776411896034,4.25621646195773,9.56298002538122e-05,0.000561888035135869,0.000310648702855064,"9181/1843/7412/5562/5295/3326/5881/4217/3162/60/7422/5598/6382/8503/2941/8878/5602/801/5290/858/5293/857/5154/4205/71/3725/2817/1728/7157/5970/3320",31
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","33/1022","155/9446",0.212903225806452,1.96779243734613,4.23140011038742,9.67047656910397e-05,0.000561888035135869,0.000310648702855064,"783/54776/5562/9475/5894/5500/5321/51422/196883/60/5598/114/57118/815/1026/5567/6093/801/5604/4637/2002/71/3725/3709/814/5499/140465/4893/5743/23236/3768/1827/5595",33
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","47/1022","251/9446",0.187250996015936,1.73069756200248,4.08663548934279,0.000110595096637872,0.00063170419605022,0.000349247673593281,"338382/10810/10092/7277/9475/388/4609/5894/10093/302/3326/9265/7846/836/10381/10627/60/3799/6237/2316/4792/5602/57381/5290/5217/5604/10096/103910/26999/3831/5293/375/257364/5606/71/3725/57617/51429/10376/23265/10787/10094/79026/5970/3320/5595/8743",47
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","31/1022","144/9446",0.215277777777778,1.98973961730811,4.16851417793733,0.000125709926826469,0.000706070755675335,0.000390362404355878,"8325/4086/4609/3625/3976/5894/5295/8313/7855/6774/4088/83729/8503/3480/5290/5604/91/3717/5293/7472/8323/130399/3720/8322/6926/6929/4893/7994/2263/3624/5595",31
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","22/1022","89/9446",0.247191011235955,2.28470282987753,4.24127682328141,0.000148887536498305,0.000822542619670962,0.000454755719761862,"1277/7057/3908/3912/1282/8515/1284/1286/6382/3909/1278/1298/3673/3915/3918/3696/3161/8516/961/1285/1287/7058",22
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","22/1022","90/9446",0.244444444444444,2.25931724287889,4.18098440802954,0.000177322401226352,0.000963833051827109,0.000532870373804149,"5894/5295/6774/5728/2475/8503/4792/55509/5290/5604/3717/5293/5781/5606/3725/4893/3459/29126/4793/4215/5970/5595",22
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","29/1022","134/9446",0.216417910447761,2.00027747758273,4.06180112677859,0.000186481743397137,0.000997529325791032,0.000551499892753437,"54776/147/9475/5894/79924/94274/5500/5321/5581/196883/5592/114/5567/6093/59/800/801/133/5604/4637/2768/3709/5499/140465/72/23365/3778/23236/5595",29
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","26/1022","116/9446",0.224137931034483,2.07163101423848,4.04483394332027,0.000219192555566248,0.00115418580040352,0.000638109906829373,"90993/9586/59345/5295/2790/196883/114/8503/815/5567/3786/5290/5604/54331/2783/3717/5293/3709/814/1385/64764/4893/1129/23236/3768/5595",26
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","22/1022","92/9446",0.239130434782609,2.21020165064239,4.06275114873184,0.000248906239579112,0.00128113427111295,0.000708295380249857,"7277/5894/7846/10381/196883/5598/5592/114/5593/5567/56034/5604/5159/6655/5154/1902/3709/10376/4893/23236/5156/5595",22
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","21/1022","86/9446",0.244186046511628,2.25692895826696,4.07839497669116,0.000250904634698678,0.00128113427111295,0.000708295380249857,"4609/5894/5295/6777/6776/2475/8503/815/1026/27/5602/5290/5604/5336/5293/6655/2002/53358/3725/4893/5595",21
