"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","15/1022","61/9446",0.245901639344262,2.27278560200186,3.4735238309987,0.00172096141693958,0.0066662528449269,0.0036855435063316,"4502/4501/26872/261729/4493/4499/476/3162/65010/2512/6546/538/1317/490/4891",15
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","27/1022","139/9446",0.194244604316547,1.79533711582593,3.29019049319993,0.00175634179053272,0.00672599072056279,0.0037185705373719,"2289/90993/9586/8202/5894/5295/3326/196883/3310/114/8503/5567/801/5290/5604/2852/5293/6655/53358/3725/3709/1385/64764/4893/23236/3320/5595",27
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","20/1022","93/9446",0.21505376344086,1.98766912863245,3.33383987216851,0.00192340870419121,0.00720209703680486,0.00398179345779935,"7048/10810/9475/5881/4088/10627/60/5818/81/7414/9411/6093/9855/3480/8936/10580/103910/57493/71/5595",20
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","20/1022","93/9446",0.21505376344086,1.98766912863245,3.33383987216851,0.00192340870419121,0.00720209703680486,0.00398179345779935,"5894/5321/196883/5598/114/815/5567/5602/801/5604/6655/2002/5606/3725/3709/4893/23236/4215/5595/2185",20
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","13/1022","50/9446",0.26,2.40309197651663,3.46470999728315,0.00200503627032503,0.007425244209885,0.00410516390801076,"4128/6303/5625/224/8659/6723/29920/219/54498/4129/1152/5831/217",13
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","36/1022","205/9446",0.175609756097561,1.62310152260035,3.14154661191592,0.00222160049151793,0.00813781919175589,0.00449912227687269,"4616/896/8819/4609/57506/5295/6774/3516/836/4939/8503/1026/4193/4792/5602/953/890/1019/29760/7128/5290/6502/7187/5336/5293/5714/5606/3725/3066/5705/1021/7157/4793/5970/5713/4940",36
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","17/1022","75/9446",0.226666666666667,2.0950032615786,3.31604431283489,0.00227142421084957,0.00823085977479898,0.00455056123735568,"672/5980/5295/836/4217/8503/1026/4193/2941/5290/5293/27113/538/1317/7157/5595/4292",17
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","10/1022","34/9446",0.294117647058824,2.7184298376885,3.49621034967436,0.00242773769300828,0.00870369789940201,0.00481197728625381,"5187/1628/5562/8863/4783/51422/9975/4862/1385/8454",10
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","16/1022","70/9446",0.228571428571429,2.11260833100363,3.25424149240947,0.00276063519664225,0.00979299011861515,0.00541420974853938,"8660/2180/5562/6774/51422/3952/2475/1374/4792/5602/7133/3717/5781/3667/4793/5970",16
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","42/1022","252/9446",0.166666666666667,1.54044357469015,3.02876535235334,0.00279916210515273,0.00982622530662989,0.00543258434881615,"1759/7048/10092/10093/9265/273/84440/4088/23327/11031/3310/3799/4193/9815/80223/116985/27183/28964/9727/3480/2869/858/137492/10096/857/375/381/6643/84552/64411/9829/27131/23362/10094/5156/6457/2263/2870/9525/112936/832/10938",42
