symbol,log2FoldChange,padj,A_Sham_4,A_Sham_5,A_Sham_6,A_svd_4,A_svd_5,A_svd_6
Mrps23,0.096,0.710,12.635,28.059,28.086,30.024,22.745,21.894
Mrps24,-0.311,0.255,32.691,71.900,47.570,32.121,24.964,45.067
Mrps25,0.145,0.273,10.368,10.023,8.664,13.060,10.953,9.279
Mrps26,-0.035,0.901,24.679,38.548,40.175,17.323,38.026,43.285
Mrps27,0.059,0.768,7.822,13.749,7.865,9.792,12.095,8.937
Mrps28,0.112,0.754,11.004,18.413,15.643,7.556,24.478,17.774
Mrps30,0.196,0.476,7.644,8.041,13.573,10.340,15.164,9.807
Mrps31,0.604,0.116,6.128,3.532,4.431,5.240,10.434,8.551
Mrps33,-0.078,0.775,26.366,42.988,16.207,25.803,22.117,29.156
Mrps34,-0.067,0.804,30.557,71.672,61.986,37.174,51.077,62.663
Mrps35,0.249,0.403,8.838,23.390,12.686,20.930,17.127,17.725
Mrps36,-0.162,0.509,29.010,35.918,15.463,22.023,26.283,17.408
Mrps5,-0.067,0.702,26.677,25.519,14.898,22.700,20.223,18.582
Mrps6,-0.063,0.852,24.280,61.305,27.720,35.457,42.659,25.655
Mrps7,0.026,0.855,29.054,20.506,29.053,23.935,29.775,26.448
Mrps9,0.126,0.604,10.073,12.534,15.689,9.269,17.081,16.755
Mrrf,-0.275,0.050,10.495,8.202,10.305,5.821,7.734,6.461
Mrs2,-0.142,0.644,12.793,4.359,10.399,7.939,9.726,5.442
Mrto4,-0.215,0.107,20.656,23.040,19.308,13.338,14.452,20.413
Mrvi1,-0.179,0.294,8.133,8.343,12.049,6.438,8.785,7.450
Ms4a1,0.031,0.877,0.657,0.000,0.000,0.151,0.339,0.277
Ms4a10,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Ms4a13,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Ms4a15,1.726,0.063,0.000,0.000,0.000,2.960,0.648,1.558
Ms4a18,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Ms4a2,0.053,0.374,0.000,0.000,0.000,0.000,0.157,0.000
Ms4a3,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Ms4a4b,0.089,0.374,0.000,0.000,0.000,0.000,0.265,0.000
Ms4a4c,0.459,0.195,0.572,0.000,0.000,0.306,0.597,1.306
Ms4a4d,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Ms4a5,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Ms4a6b,-0.069,0.785,3.573,3.797,1.021,2.196,2.306,2.972
Ms4a6c,-0.138,0.691,4.983,15.523,7.076,8.920,5.157,8.809
Ms4a6d,0.732,0.252,4.685,0.000,0.748,4.785,2.995,3.842
Ms4a7,-0.150,0.372,5.826,4.279,4.330,2.857,3.644,5.194
Ms4a8a,0.027,0.374,0.000,0.000,0.000,0.000,0.080,0.000
Msantd1,0.439,0.000,0.000,0.000,0.000,0.431,0.484,0.397
Msantd2,0.734,0.076,4.374,1.276,1.624,4.636,4.475,5.595
