"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","13/351","166/18496",1.75850604064097e-05,0.00808455116432621,0.00748322091243417,"4240/1294/7057/3908/4811/1282/1301/3491/1286/3909/8483/1285/2201",13
"GO:0017147","GO:0017147","Wnt-protein binding","6/351","32/18496",2.67257889729792e-05,0.00808455116432621,0.00748322091243417,"8325/4811/7855/2487/8323/147495",6
"GO:0071949","GO:0071949","FAD binding","6/351","40/18496",9.96220455635917e-05,0.0200904458553243,0.0185961151718704,"7296/58472/79689/5625/316/9645",6
"GO:0042813","GO:0042813","Wnt receptor activity","4/351","16/18496",0.000193692891707302,0.0292960498707295,0.0271170048390223,"8325/4811/7855/8323",4
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","8/351","88/18496",0.000266689803562597,0.0322694662310742,0.0298692579990108,"4128/7296/58472/79689/5625/316/9645/4129",8
