"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","23/355","429/19886",3.13338910164695e-06,0.00109668618557643,0.00104556246865483,"8404/307/9510/12/4240/1294/7057/3908/4811/1282/1301/11096/3491/9068/1286/3909/10218/1075/8483/59/1285/2201/145864",23
"GO:0098644","GO:0098644","complex of collagen trimers","5/355","21/19886",2.83455556020976e-05,0.00384406293242106,0.00366486601376685,"1294/1282/1301/1286/1285",5
"GO:0005604","GO:0005604","basement membrane","9/355","90/19886",3.29491108493234e-05,0.00384406293242106,0.00366486601376685,"9510/1294/3908/4811/1282/1286/3909/59/1285",9
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","17/355","313/19886",5.19461241006088e-05,0.00454528585880327,0.00433340035260342,"8404/57104/4240/1294/7057/285203/1282/10272/1301/11096/3491/1286/56975/1075/1285/91851/121506",17
"GO:0031252","GO:0031252","cell leading edge","20/355","423/19886",8.10934898877741e-05,0.00567654429214419,0.00541192343040513,"121512/10810/91663/3983/10235/11037/55604/11170/9265/5881/4739/273/23189/9788/59/10630/5336/8516/72/2185",20
"GO:0005912","GO:0005912","adherens junction","11/355","188/19886",0.000584192879331406,0.0340779179609987,0.0324893232891326,"91624/247/10611/4356/9414/9265/3909/83604/1002/10580/2043",11
"GO:0005581","GO:0005581","collagen trimer","7/355","86/19886",0.00087421516364523,0.0437107581822615,0.0416731138158704,"1294/1282/114897/1301/1286/1896/1285",7
